term_str,n,max_pos,dfidf,tfidf
1,53,NN,58.17770648907197,0.00386631058962137
10,9,NN,22.42713413585121,0.0008071544426700595
100,3,CD,11.614709844115207,0.0003313976057431192
10000,1,CD,6.807354922057604,0.0001482437918566551
100000000,1,NN,6.807354922057604,0.00013658416777804182
1000x,1,CD,6.807354922057604,0.0001731622639921043
1015,1,CD,6.807354922057604,0.00016977640966823633
107,1,CD,6.807354922057604,0.00018875762317151738
108,1,CD,6.807354922057604,0.00018875762317151738
109,1,CD,6.807354922057604,0.00018875762317151738
10th,2,CD,6.807354922057604,0.00031989449821699266
11,6,CD,19.229419688230415,0.000669991016488745
1108427,1,CD,6.807354922057604,0.00026541464917567074
119,1,CD,6.807354922057604,0.00016977640966823633
11th,3,CD,15.667177264009343,0.00037163043215391955
12,5,CD,19.229419688230415,0.0006654021098568909
125000,1,FW,6.807354922057604,0.00013658416777804182
127713,1,CD,6.807354922057604,0.00026541464917567074
129,3,CD,11.614709844115207,0.00045070167250010836
12mo,1,CD,6.807354922057604,4.1773164715621034e-05
12th,2,CD,6.807354922057604,0.00031989449821699266
13,4,CD,15.667177264009343,0.0005508642092361417
130,2,CD,11.614709844115207,0.00019666582998107148
133,1,CD,6.807354922057604,0.00016977640966823633
137,2,CD,11.614709844115207,0.00016210347787931544
14,8,CD,19.229419688230415,0.0009916162145954689
1453,1,CD,6.807354922057604,0.00020125812801731325
147,1,CD,6.807354922057604,0.0001482437918566551
15,7,CD,19.229419688230415,0.0008282259857194612
150,1,CD,6.807354922057604,0.00027753403954898905
150000,3,CD,15.667177264009343,0.0009573149913590943
1591,1,CD,6.807354922057604,4.1773164715621034e-05
159732,1,NN,6.807354922057604,0.0001482437918566551
15th,1,CD,6.807354922057604,0.00015994724910849633
16,3,CD,15.667177264009343,0.0004412142910588528
162000,2,CD,11.614709844115207,0.0002629177968793271
1632,1,CD,6.807354922057604,4.1773164715621034e-05
1633,1,CD,6.807354922057604,4.1773164715621034e-05
1638,1,CD,6.807354922057604,4.1773164715621034e-05
1688211,1,CD,6.807354922057604,0.00026541464917567074
17,4,CD,15.667177264009343,0.0006036829452816144
1738,1,CD,6.807354922057604,4.1773164715621034e-05
1752187,1,CD,6.807354922057604,0.00014167821599353987
1759,1,CD,6.807354922057604,0.00012083489992291969
1786,2,CD,11.614709844115207,0.0002768059138449212
18,3,CD,15.667177264009343,0.0005343143365225973
1822,2,CD,11.614709844115207,0.0002768059138449212
1825,1,CD,6.807354922057604,0.0003533718294257477
1826,2,CD,6.807354922057604,8.354632943124207e-05
1827,2,CD,11.614709844115207,0.0006248569535144488
1828,2,CD,11.614709844115207,0.0006248569535144488
1832,1,CD,6.807354922057604,0.00012083489992291969
1835,2,CD,6.807354922057604,0.00035648067249987453
1839,1,CD,6.807354922057604,0.00015994724910849633
1849,1,CD,6.807354922057604,0.00012083489992291969
1850,1,CD,6.807354922057604,0.0002337690563893408
1857,2,CD,6.807354922057604,0.00047299575611851056
1864,1,CD,6.807354922057604,0.00012083489992291969
1865,1,CD,6.807354922057604,0.00016977640966823633
1870,4,CD,15.667177264009343,0.0007329090923451374
1871,1,CD,6.807354922057604,0.00018875762317151738
1872,1,CD,6.807354922057604,0.00018875762317151738
1873,1,CD,6.807354922057604,0.00023649787805925528
1877,1,CD,6.807354922057604,0.000303899773306143
1886,1,CD,6.807354922057604,0.00023649787805925528
1887,10,CD,28.0,0.002195733608032807
1888,2,CD,11.614709844115207,0.00032950951519099416
1895,1,CD,6.807354922057604,0.00013658416777804182
1897,1,CD,6.807354922057604,0.0002337690563893408
1898,1,CD,6.807354922057604,0.0002337690563893408
18th,2,CD,6.807354922057604,8.354632943124207e-05
19,2,CD,6.807354922057604,0.00033955281933647266
1900,2,CD,11.614709844115207,0.00023738565750159698
1902,6,CD,22.42713413585121,0.0008780293353849172
1903,4,CD,11.614709844115207,0.0006688113786373671
1904,1,CD,6.807354922057604,0.00026541464917567074
1905,5,CD,19.229419688230415,0.0007634045101843687
1906,8,CD,28.0,0.0009326517496338044
1907,1,CD,6.807354922057604,0.00013658416777804182
1908,1,CD,6.807354922057604,0.00026541464917567074
1910,3,CD,11.614709844115207,0.0005737162037631777
1912,11,CD,22.42713413585121,0.0023031575257076394
1913,6,CD,22.42713413585121,0.0008437922281815923
1914,2,CD,11.614709844115207,0.00036070636564529944
1915,1,CD,6.807354922057604,0.0003946750302677182
1917,2,CD,11.614709844115207,0.0004105100570305836
1918,2,CD,11.614709844115207,0.0004132095954001089
1922,1,CD,6.807354922057604,0.00031169207518578774
1927,1,CD,6.807354922057604,0.0003946750302677182
1928,1,CD,6.807354922057604,0.0003946750302677182
1931,1,CD,6.807354922057604,0.0002337690563893408
1932,2,CD,11.614709844115207,0.00036662333411528747
1932their,1,CD,6.807354922057604,0.0005576142629470515
1942,1,CD,6.807354922057604,0.00030852768863567817
1957,1,CD,6.807354922057604,0.00023649787805925528
197000,1,JJ,6.807354922057604,0.00015994724910849633
197327,1,NNP,6.807354922057604,0.00015994724910849633
1984,1,CD,6.807354922057604,0.00030852768863567817
1st,1,CD,6.807354922057604,0.00016977640966823633
2,40,NN,53.33741811207476,0.0037090067931039167
20,2,CD,6.807354922057604,0.0002964875837133102
2000,7,CD,25.334354528018686,0.0024494934575534795
2000000,1,FW,6.807354922057604,0.00013658416777804182
2002,1,CD,6.807354922057604,0.00031169207518578774
