book_id,chap_id,para_num,sent_num,token_num,pos_tuple,pos,token_str,term_str
31547,1,0,0,0,"('The', 'DT')",DT,The,the
31547,1,0,0,1,"('Astronomer', 'NNP')",NNP,Astronomer,astronomer
31547,1,0,0,2,"('entered', 'VBD')",VBD,entered,entered
31547,1,0,0,3,"('the', 'DT')",DT,the,the
31547,1,0,0,4,"('dining', 'NN')",NN,dining,dining
31547,1,0,0,5,"('room', 'NN')",NN,room,room
31547,1,0,0,6,"('with', 'IN')",IN,with,with
31547,1,0,0,7,"('decorum.', 'NN')",NN,decorum.,decorum
31547,1,0,1,0,"('He', 'PRP')",PRP,He,he
31547,1,0,1,1,"('felt', 'VBD')",VBD,felt,felt
31547,1,0,1,2,"('very', 'RB')",RB,very,very
31547,1,0,1,3,"('much', 'RB')",RB,much,much
31547,1,0,1,4,"('the', 'DT')",DT,the,the
31547,1,0,1,5,"('guest.', 'NN')",NN,guest.,guest
31547,1,1,0,0,"('He', 'PRP')",PRP,He,he
31547,1,1,0,1,"('said,', 'VBZ')",VBZ,"said,",said
31547,1,1,0,2,"('""Where', 'EX')",EX,"""Where",where
31547,1,1,0,3,"('are', 'VBP')",VBP,are,are
31547,1,1,0,4,"('the', 'DT')",DT,the,the
31547,1,1,0,5,"('youngsters?', 'NN')",NN,youngsters?,youngsters
31547,1,1,1,0,"('My', 'PRP$')",PRP$,My,my
31547,1,1,1,1,"('son', 'NN')",NN,son,son
31547,1,1,1,2,"(""isn't"", 'NN')",NN,isn't,isnt
31547,1,1,1,3,"('in', 'IN')",IN,in,in
31547,1,1,1,4,"('his', 'PRP$')",PRP$,his,his
31547,1,1,1,5,"('room.""', 'NN')",NN,"room.""",room
31547,1,2,0,0,"('The', 'DT')",DT,The,the
31547,1,2,0,1,"('Industrialist', 'NNP')",NNP,Industrialist,industrialist
31547,1,2,0,2,"('smiled.', 'NN')",NN,smiled.,smiled
31547,1,2,1,0,"('""They\'ve', 'RB')",RB,"""They've",theyve
31547,1,2,1,1,"('been', 'VBN')",VBN,been,been
31547,1,2,1,2,"('out', 'RP')",RP,out,out
31547,1,2,1,3,"('for', 'IN')",IN,for,for
31547,1,2,1,4,"('hours.', 'NN')",NN,hours.,hours
31547,1,2,2,0,"('However,', 'NNP')",NNP,"However,",however
31547,1,2,2,1,"('breakfast', 'NN')",NN,breakfast,breakfast
31547,1,2,2,2,"('was', 'VBD')",VBD,was,was
31547,1,2,2,3,"('forced', 'VBN')",VBN,forced,forced
31547,1,2,2,4,"('into', 'IN')",IN,into,into
31547,1,2,2,5,"('them', 'PRP')",PRP,them,them
31547,1,2,2,6,"('among', 'IN')",IN,among,among
31547,1,2,2,7,"('the', 'DT')",DT,the,the
31547,1,2,2,8,"('women', 'NNS')",NNS,women,women
31547,1,2,2,9,"('some', 'DT')",DT,some,some
31547,1,2,2,10,"('time', 'NN')",NN,time,time
31547,1,2,2,11,"('ago,', 'RP')",RP,"ago,",ago
31547,1,2,2,12,"('so', 'RB')",RB,so,so
31547,1,2,2,13,"('there', 'EX')",EX,there,there
31547,1,2,2,14,"('is', 'VBZ')",VBZ,is,is
31547,1,2,2,15,"('nothing', 'NN')",NN,nothing,nothing
31547,1,2,2,16,"('to', 'TO')",TO,to,to
31547,1,2,2,17,"('worry', 'VB')",VB,worry,worry
31547,1,2,2,18,"('about.', 'NN')",NN,about.,about
31547,1,2,3,0,"('Youth,', 'NNP')",NNP,"Youth,",youth
31547,1,2,3,1,"('Doctor,', 'NNP')",NNP,"Doctor,",doctor
31547,1,2,3,2,"('youth!""', 'NN')",NN,"youth!""",youth
31547,1,3,0,0,"('""Youth!""', 'NN')",NN,"""Youth!""",youth
31547,1,3,1,0,"('The', 'DT')",DT,The,the
31547,1,3,1,1,"('word', 'NN')",NN,word,word
31547,1,3,1,2,"('seemed', 'VBD')",VBD,seemed,seemed
31547,1,3,1,3,"('to', 'TO')",TO,to,to
31547,1,3,1,4,"('depress', 'VB')",VB,depress,depress
31547,1,3,1,5,"('the', 'DT')",DT,the,the
31547,1,3,1,6,"('Astronomer.', 'NNP')",NNP,Astronomer.,astronomer
31547,1,4,0,0,"('They', 'PRP')",PRP,They,they
31547,1,4,0,1,"('ate', 'VBP')",VBP,ate,ate
31547,1,4,0,2,"('breakfast', 'NN')",NN,breakfast,breakfast
31547,1,4,0,3,"('in', 'IN')",IN,in,in
31547,1,4,0,4,"('silence.', 'NN')",NN,silence.,silence
31547,1,4,1,0,"('The', 'DT')",DT,The,the
31547,1,4,1,1,"('Industrialist', 'NNP')",NNP,Industrialist,industrialist
31547,1,4,1,2,"('said', 'VBD')",VBD,said,said
31547,1,4,1,3,"('once,', 'PRP$')",PRP$,"once,",once
31547,1,4,1,4,"('""You', 'JJ')",JJ,"""You",you
31547,1,4,1,5,"('really', 'RB')",RB,really,really
31547,1,4,1,6,"('think', 'VBP')",VBP,think,think
31547,1,4,1,7,"(""they'll"", 'NNS')",NNS,they'll,theyll
31547,1,4,1,8,"('come.', 'NNS')",NNS,come.,come
31547,1,4,2,0,"('The', 'DT')",DT,The,the
31547,1,4,2,1,"('day', 'NN')",NN,day,day
31547,1,4,2,2,"('looks', 'VBZ')",VBZ,looks,looks
31547,1,4,2,3,"('so', 'RB')",RB,so,so
31547,1,4,2,4,"('_normal_.""', 'JJ')",JJ,"_normal_.""",normal
31547,1,5,0,0,"('The', 'DT')",DT,The,the
31547,1,5,0,1,"('Astronomer', 'NNP')",NNP,Astronomer,astronomer
31547,1,5,0,2,"('said,', 'NN')",NN,"said,",said
31547,1,5,0,3,"('""They\'ll', 'NNP')",NNP,"""They'll",theyll
31547,1,5,0,4,"('come.""', 'NN')",NN,"come.""",come
31547,1,6,0,0,"('That', 'DT')",DT,That,that
31547,1,6,0,1,"('was', 'VBD')",VBD,was,was
31547,1,6,0,2,"('all.', 'NN')",NN,all.,all
31547,1,7,0,0,"('Afterward', 'RB')",RB,Afterward,afterward
31547,1,7,0,1,"('the', 'DT')",DT,the,the
31547,1,7,0,2,"('Industrialist', 'NNP')",NNP,Industrialist,industrialist
31547,1,7,0,3,"('said,', 'NN')",NN,"said,",said
31547,1,7,0,4,"('""You\'ll', 'NNP')",NNP,"""You'll",youll
31547,1,7,0,5,"('pardon', 'NN')",NN,pardon,pardon
31547,1,7,0,6,"('me.', 'NN')",NN,me.,me
31547,1,7,1,0,"('I', 'PRP')",PRP,I,i
31547,1,7,1,1,"(""can't"", 'VBP')",VBP,can't,cant
31547,1,7,1,2,"('conceive', 'JJ')",JJ,conceive,conceive
31547,1,7,1,3,"('your', 'PRP$')",PRP$,your,your
31547,1,7,1,4,"('playing', 'VBG')",VBG,playing,playing
31547,1,7,1,5,"('so', 'RB')",RB,so,so
31547,1,7,1,6,"('elaborate', 'VB')",VB,elaborate,elaborate
31547,1,7,1,7,"('a', 'DT')",DT,a,a
31547,1,7,1,8,"('hoax.', 'NN')",NN,hoax.,hoax
31547,1,7,2,0,"('You', 'PRP')",PRP,You,you
31547,1,7,2,1,"('really', 'RB')",RB,really,really
31547,1,7,2,2,"('spoke', 'VBD')",VBD,spoke,spoke
31547,1,7,2,3,"('to', 'TO')",TO,to,to
31547,1,7,2,4,"('them?""', 'VB')",VB,"them?""",them
31547,1,8,0,0,"('""As', 'NN')",NN,"""As",as
31547,1,8,0,1,"('I', 'PRP')",PRP,I,i
31547,1,8,0,2,"('speak', 'VBP')",VBP,speak,speak
31547,1,8,0,3,"('to', 'TO')",TO,to,to
31547,1,8,0,4,"('you.', 'VB')",VB,you.,you
31547,1,8,1,0,"('At', 'IN')",IN,At,at
31547,1,8,1,1,"('least,', 'NN')",NN,"least,",least
31547,1,8,1,2,"('in', 'IN')",IN,in,in
31547,1,8,1,3,"('a', 'DT')",DT,a,a
31547,1,8,1,4,"('sense.', 'NN')",NN,sense.,sense
31547,1,8,2,0,"('They', 'PRP')",PRP,They,they
31547,1,8,2,1,"('can', 'MD')",MD,can,can
31547,1,8,2,2,"('project', 'VB')",VB,project,project
31547,1,8,2,3,"('thoughts.""', 'VB')",VB,"thoughts.""",thoughts
31547,1,9,0,0,"('""I', 'NN')",NN,"""I",i
31547,1,9,0,1,"('gathered', 'VBD')",VBD,gathered,gathered
31547,1,9,0,2,"('that', 'IN')",IN,that,that
31547,1,9,0,3,"('must', 'MD')",MD,must,must
31547,1,9,0,4,"('be', 'VB')",VB,be,be
31547,1,9,0,5,"('so', 'RB')",RB,so,so
31547,1,9,0,6,"('from', 'IN')",IN,from,from
31547,1,9,0,7,"('your', 'PRP$')",PRP$,your,your
31547,1,9,0,8,"('letter.', 'NN')",NN,letter.,letter
31547,1,9,1,0,"('How,', 'NNP')",NNP,"How,",how
