,book_title,origin,weighted_sentiment
0,A Voyage to the Moon,American,0.002086230310930103
1,Flatland: A Romance of Many Dimensions,British,0.001174085503266132
2,Frankenstein,British,0.0005565869212807823
3,Looking Backward,American,0.0022611710015295063
4,The Brick Moon,American,0.001469430733568031
5,The Invisible Man,British,-0.004025534322051728
6,The Iron Heel,American,-0.002712539742003914
7,The Last Man,British,-5.475175870803576e-05
8,The Strange Case of Dr. Jekyll and Mr. Hyde,British,-0.0012804096482833625
9,The Variable Man,American,-0.002143770210763056
10,The War of the Worlds,British,-0.0038597612568039316
11,Youth,American,-0.0058435810625579515
